池子ID,池子名称,池子总权重,金球总权重,金球总占比%,此池单次闪率%,含保底期望噩梦次数,精灵名,是否异色,权重,在总池中占比%,在金球中占比%
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,拉特,是,9,0.0242,2.46
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,治愈兔,是,9,0.0242,2.46
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,粉星仔,是,9,0.0242,2.46
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,月牙雪熊,是,9,0.0242,2.46
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,粉粉星,是,9,0.0242,2.46
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,双灯鱼,是,9,0.0242,2.46
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,嗜光嗡嗡,是,9,0.0242,2.46
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,空空颅,是,9,0.0242,2.46
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,贝瑟,是,9,0.0242,2.46
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,柴渣虫,否,7180,19.3167,
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,贝瑟,否,7180,19.3167,
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,治愈兔,否,7180,19.3167,
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,果冻,否,3680,9.9005,
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,星尘虫,否,3680,9.9005,
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,粉星仔,否,608,1.6357,
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,月牙雪熊,否,608,1.6357,
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,粉粉星,否,608,1.6357,
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,双灯鱼,否,608,1.6357,
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,嗜光嗡嗡,否,608,1.6357,
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,空空颅,否,608,1.6357,
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,大耳帽兜,否,608,1.6357,
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,机械方方,否,608,1.6357,
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,恶魔狼,否,608,1.6357,
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,奇丽草,否,608,1.6357,
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,呼呼猪,否,608,1.6357,
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,拉特,否,608,1.6357,
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,格兰种子,否,608,1.6357,
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,治愈兔,是,83,0.2233,22.68
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,柴渣虫,是,83,0.2233,22.68
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,贝瑟,是,83,0.2233,22.68
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,大耳帽兜,是,9,0.0242,2.46
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,机械方方,是,9,0.0242,2.46
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,恶魔狼,是,9,0.0242,2.46
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,奇丽草,是,9,0.0242,2.46
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,呼呼猪,是,9,0.0242,2.46
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,拉特,是,9,0.0242,2.46
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,格兰种子,是,9,0.0242,2.46
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,粉星仔,是,9,0.0242,2.46
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,月牙雪熊,是,9,0.0242,2.46
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,粉粉星,是,9,0.0242,2.46
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,双灯鱼,是,9,0.0242,2.46
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,嗜光嗡嗡,是,9,0.0242,2.46
type_4,火属性池（type=4）,37170,366,0.9847,0.9847,54.3,空空颅,是,9,0.0242,2.46
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,双灯鱼,否,21420,57.6302,
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,果冻,否,3680,9.901,
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,星尘虫,否,3680,9.901,
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,粉星仔,否,535,1.4394,
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,月牙雪熊,否,535,1.4394,
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,粉粉星,否,535,1.4394,
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,嗜光嗡嗡,否,535,1.4394,
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,柴渣虫,否,535,1.4394,
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,空空颅,否,535,1.4394,
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,贝瑟,否,535,1.4394,
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,大耳帽兜,否,535,1.4394,
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,机械方方,否,535,1.4394,
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,恶魔狼,否,535,1.4394,
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,奇丽草,否,535,1.4394,
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,呼呼猪,否,535,1.4394,
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,拉特,否,535,1.4394,
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,治愈兔,否,535,1.4394,
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,格兰种子,否,535,1.4394,
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,双灯鱼,是,243,0.6538,66.94
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,大耳帽兜,是,8,0.0215,2.2
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,机械方方,是,8,0.0215,2.2
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,恶魔狼,是,8,0.0215,2.2
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,奇丽草,是,8,0.0215,2.2
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,呼呼猪,是,8,0.0215,2.2
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,拉特,是,8,0.0215,2.2
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,治愈兔,是,8,0.0215,2.2
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,格兰种子,是,8,0.0215,2.2
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,粉星仔,是,8,0.0215,2.2
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,月牙雪熊,是,8,0.0215,2.2
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,粉粉星,是,8,0.0215,2.2
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,嗜光嗡嗡,是,8,0.0215,2.2
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,柴渣虫,是,8,0.0215,2.2
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,空空颅,是,8,0.0215,2.2
type_5,水属性池（type=5）,37168,363,0.9766,0.9766,54.5,贝瑟,是,8,0.0215,2.2
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,嗜光嗡嗡,否,21420,57.6302,
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,果冻,否,3680,9.901,
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,星尘虫,否,3680,9.901,
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,粉星仔,否,535,1.4394,
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,月牙雪熊,否,535,1.4394,
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,粉粉星,否,535,1.4394,
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,双灯鱼,否,535,1.4394,
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,柴渣虫,否,535,1.4394,
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,空空颅,否,535,1.4394,
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,贝瑟,否,535,1.4394,
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,大耳帽兜,否,535,1.4394,
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,机械方方,否,535,1.4394,
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,恶魔狼,否,535,1.4394,
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,奇丽草,否,535,1.4394,
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,呼呼猪,否,535,1.4394,
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,拉特,否,535,1.4394,
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,治愈兔,否,535,1.4394,
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,格兰种子,否,535,1.4394,
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,嗜光嗡嗡,是,243,0.6538,66.94
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,大耳帽兜,是,8,0.0215,2.2
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,机械方方,是,8,0.0215,2.2
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,恶魔狼,是,8,0.0215,2.2
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,奇丽草,是,8,0.0215,2.2
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,呼呼猪,是,8,0.0215,2.2
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,拉特,是,8,0.0215,2.2
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,治愈兔,是,8,0.0215,2.2
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,格兰种子,是,8,0.0215,2.2
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,粉星仔,是,8,0.0215,2.2
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,月牙雪熊,是,8,0.0215,2.2
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,粉粉星,是,8,0.0215,2.2
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,双灯鱼,是,8,0.0215,2.2
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,柴渣虫,是,8,0.0215,2.2
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,空空颅,是,8,0.0215,2.2
type_6,光属性池（type=6）,37168,363,0.9766,0.9766,54.5,贝瑟,是,8,0.0215,2.2
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,呼呼猪,否,21420,57.6302,
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,果冻,否,3680,9.901,
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,星尘虫,否,3680,9.901,
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,粉星仔,否,535,1.4394,
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,月牙雪熊,否,535,1.4394,
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,粉粉星,否,535,1.4394,
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,双灯鱼,否,535,1.4394,
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,嗜光嗡嗡,否,535,1.4394,
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,柴渣虫,否,535,1.4394,
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,空空颅,否,535,1.4394,
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,贝瑟,否,535,1.4394,
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,大耳帽兜,否,535,1.4394,
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,机械方方,否,535,1.4394,
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,恶魔狼,否,535,1.4394,
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,奇丽草,否,535,1.4394,
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,拉特,否,535,1.4394,
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,治愈兔,否,535,1.4394,
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,格兰种子,否,535,1.4394,
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,呼呼猪,是,243,0.6538,66.94
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,大耳帽兜,是,8,0.0215,2.2
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,机械方方,是,8,0.0215,2.2
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,恶魔狼,是,8,0.0215,2.2
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,奇丽草,是,8,0.0215,2.2
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,拉特,是,8,0.0215,2.2
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,治愈兔,是,8,0.0215,2.2
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,格兰种子,是,8,0.0215,2.2
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,粉星仔,是,8,0.0215,2.2
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,月牙雪熊,是,8,0.0215,2.2
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,粉粉星,是,8,0.0215,2.2
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,双灯鱼,是,8,0.0215,2.2
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,嗜光嗡嗡,是,8,0.0215,2.2
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,柴渣虫,是,8,0.0215,2.2
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,空空颅,是,8,0.0215,2.2
type_8,地属性池（type=8）,37168,363,0.9766,0.9766,54.5,贝瑟,是,8,0.0215,2.2
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,月牙雪熊,否,7180,19.3167,
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,大耳帽兜,否,7180,19.3167,
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,呼呼猪,否,7180,19.3167,
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,果冻,否,3680,9.9005,
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,星尘虫,否,3680,9.9005,
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,粉星仔,否,608,1.6357,
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,粉粉星,否,608,1.6357,
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,双灯鱼,否,608,1.6357,
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,嗜光嗡嗡,否,608,1.6357,
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,柴渣虫,否,608,1.6357,
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,空空颅,否,608,1.6357,
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,贝瑟,否,608,1.6357,
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,机械方方,否,608,1.6357,
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,恶魔狼,否,608,1.6357,
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,奇丽草,否,608,1.6357,
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,拉特,否,608,1.6357,
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,治愈兔,否,608,1.6357,
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,格兰种子,否,608,1.6357,
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,大耳帽兜,是,83,0.2233,22.68
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,呼呼猪,是,83,0.2233,22.68
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,月牙雪熊,是,83,0.2233,22.68
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,机械方方,是,9,0.0242,2.46
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,恶魔狼,是,9,0.0242,2.46
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,奇丽草,是,9,0.0242,2.46
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,拉特,是,9,0.0242,2.46
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,治愈兔,是,9,0.0242,2.46
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,格兰种子,是,9,0.0242,2.46
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,粉星仔,是,9,0.0242,2.46
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,粉粉星,是,9,0.0242,2.46
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,双灯鱼,是,9,0.0242,2.46
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,嗜光嗡嗡,是,9,0.0242,2.46
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,柴渣虫,是,9,0.0242,2.46
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,空空颅,是,9,0.0242,2.46
type_9,冰属性池（type=9）,37170,366,0.9847,0.9847,54.3,贝瑟,是,9,0.0242,2.46
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,粉粉星,否,7180,19.3167,
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,双灯鱼,否,7180,19.3167,
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,拉特,否,7180,19.3167,
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,果冻,否,3680,9.9005,
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,星尘虫,否,3680,9.9005,
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,粉星仔,否,608,1.6357,
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,月牙雪熊,否,608,1.6357,
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,嗜光嗡嗡,否,608,1.6357,
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,柴渣虫,否,608,1.6357,
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,空空颅,否,608,1.6357,
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,贝瑟,否,608,1.6357,
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,大耳帽兜,否,608,1.6357,
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,机械方方,否,608,1.6357,
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,恶魔狼,否,608,1.6357,
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,奇丽草,否,608,1.6357,
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,呼呼猪,否,608,1.6357,
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,治愈兔,否,608,1.6357,
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,格兰种子,否,608,1.6357,
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,拉特,是,83,0.2233,22.68
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,粉粉星,是,83,0.2233,22.68
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,双灯鱼,是,83,0.2233,22.68
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,大耳帽兜,是,9,0.0242,2.46
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,机械方方,是,9,0.0242,2.46
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,恶魔狼,是,9,0.0242,2.46
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,奇丽草,是,9,0.0242,2.46
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,呼呼猪,是,9,0.0242,2.46
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,治愈兔,是,9,0.0242,2.46
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,格兰种子,是,9,0.0242,2.46
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,粉星仔,是,9,0.0242,2.46
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,月牙雪熊,是,9,0.0242,2.46
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,嗜光嗡嗡,是,9,0.0242,2.46
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,柴渣虫,是,9,0.0242,2.46
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,空空颅,是,9,0.0242,2.46
type_11,电属性池（type=11）,37170,366,0.9847,0.9847,54.3,贝瑟,是,9,0.0242,2.46
